output,parameter,increment,steps,fd,oti,rel_error,plateau_spread,weighted_fd,float32_floor_rel,weighted_error
tip_RF2,E,1,0.01/0.005,-0.0003014993220567703,-0.00030149918802897823,4.4453762333981537e-07,3.953882508320237e-07,1.000000457167874,1.192092350521487e-05,4.445378265681355e-07
tip_RF2,E,2,0.01/0.005,-0.0006029986441135406,-0.0006029983760579564,4.445376235196171e-07,3.953882508320237e-07,1.000000457167874,1.192092350521487e-05,4.4453782674793733e-07
tip_RF2,E,3,0.02/0.01,-0.0009044963866472244,-0.0009044975865503747,1.3265980582887985e-06,1.5321321472338912e-06,0.9999987196004514,5.96047210932486e-06,1.3265963597132434e-06
tip_RF2,E,4,0.01/0.005,-0.0012059972882270812,-0.0012059967521159134,4.4453762298021187e-07,3.953882508320237e-07,1.000000457167874,1.192092350521487e-05,4.445378262085318e-07
tip_RF2,E,5,0.02/0.01,-0.001507496267557144,-0.001507495917681452,2.32090585915965e-07,7.907766814457374e-08,1.000000234465341,5.960463080017054e-06,2.3209064033316336e-07
tip_RF2,E,6,0.02/0.01,-0.0018089927732944488,-0.0018089951731007485,1.3265980578093262e-06,1.5321321472338912e-06,0.9999987196004514,5.96047210932486e-06,1.326596359233772e-06
tip_RF2,E,7,0.02/0.01,-0.0021036187410354615,-0.0021040231071619464,0.00019222405590751092,0.00010711796542680202,0.9968053212909643,5.9795672737979115e-06,0.00019160996180873872
tip_RF2,E,8,0.01/0.005,-0.0022539712190628052,-0.0022557428921484842,0.0007860229406192981,0.001336599660212209,0.9374988340256524,1.2715673366642221e-05,0.0007368955903480066
tip_RF2,E,9,0.02/0.01,-0.00226958966255188,-0.002249081867415218,0.009035904364140947,0.0001433921584343406,0.848726048791313,7.0228367398732184e-06,0.007669007408233528
tip_RF2,E,10,0.01/0.005,-0.0020351502895355226,-0.002033106399377863,0.0010042944583350867,0.0017257711685713627,0.7014713760425366,1.699417732813555e-05,0.0007044838156402072
tip_RF2,E,11,0.02/0.01,-0.001737781822681427,-0.001724233915738677,0.007796091986878559,0.0011923797590277206,0.5637995231893043,1.0571957286912684e-05,0.004395432944942088
tip_RF2,E,12,0.01/0.005,-0.0014483431577682496,-0.0014591068389653622,0.00743172026558841,0.004284879571586892,0.4496042945639428,2.651426843384551e-05,0.0033413333474064345
tip_RF2,E,13,0.02/0.01,-0.0011833573579788207,-0.0011453749614841768,0.03209714820172163,0.008402900615419696,0.3555222953733515,1.6765374647684708e-05,0.011411251803614715
tip_RF2,E,14,0.01/0.005,-0.0010390418767929077,-0.0010462631682007578,0.006949952229201011,0.0021947278116453374,0.30463278486486384,3.913212742471659e-05,0.002117183302259272
