increment,time,volume_mean_mises,field_share_E,field_share_nu,field_share_SIGY0,field_share_H,scalar_share_E,scalar_share_nu,scalar_share_SIGY0,scalar_share_H
1,0.02500000037252903,9.80305937761486,98.21132379944666,1.788676200553338,0.0,0.0,99.37364232606444,0.6263576739355676,0.0,0.0
2,0.05000000074505806,19.606118755229726,98.21132379944667,1.7886762005533299,0.0,0.0,99.37364232606443,0.6263576739355805,0.0,0.0
3,0.07500000298023224,29.409178863229418,98.21132379944667,1.7886762005533308,0.0,0.0,99.37364232606441,0.6263576739355832,0.0,0.0
4,0.10000000149011612,39.21223751045944,98.21132379944666,1.7886762005533408,0.0,0.0,99.37364232606444,0.6263576739355693,0.0,0.0
5,0.125,49.015296157689484,98.21132379944666,1.7886762005533454,0.0,0.0,99.37364232606441,0.6263576739355814,0.0,0.0
6,0.15000000596046448,58.81835772645883,98.21132379944667,1.7886762005533323,0.0,0.0,99.37364232606441,0.6263576739355712,0.0,0.0
7,0.17499999701976776,68.61862884962176,97.62795484983288,1.7817415164047787,0.5901825220104104,0.00012111175192062444,99.18216576062531,0.6266665334154177,0.19112848435457166,3.9221604705039734e-05
8,0.20000000298023224,78.25449195423053,89.45728532762652,1.688514300532057,8.84557270651774,0.00862766532367629,94.96917490430188,0.7970663040875599,4.229679607071411,0.004079184539157767
9,0.22499999403953552,87.32514449782707,79.54933353840896,1.4954608298871306,18.914465910509357,0.04073972119455472,87.58860226393509,0.7104593275345202,11.678915561757021,0.0220228467733795
10,0.25,95.26990869371888,67.8109565742378,1.3484852715408076,30.739448808245914,0.10110934597548726,76.12985825371517,0.5068445764844721,23.299754418277335,0.06354275152302877
11,0.2750000059604645,101.91351570065547,56.8790912797804,1.2580719207926778,41.67689016699878,0.1859466324281285,63.728474658082035,0.390414300043727,35.754961845729596,0.12614919614464143
12,0.30000001192092896,107.29056808197463,48.4195947266952,1.1980788220679583,50.08324455210176,0.2990818991350738,53.85561334107263,0.2666223454390292,45.6603678169426,0.21739649654573967
13,0.32499998807907104,111.63581829529761,39.29163725594809,1.1668725813490894,59.09660988363326,0.4448802790695526,42.98236255732371,0.22067547396812415,56.45175919894185,0.34520276976631104
14,0.3499999940395355,115.13067002787535,36.19154973958031,1.1250345148782575,62.09371208087307,0.5897036646683617,39.37674322516372,0.1260000411692481,60.03328366488464,0.4639730687823973
15,0.375,117.95833479656118,30.334859811633894,1.0765961167029505,67.81924574142602,0.769298330237123,32.55689141035059,0.09760597383941322,66.7227207853937,0.6227818304162892
16,0.4000000059604645,120.25957722335913,25.094185446899495,1.038869029303878,72.90451068192648,0.962434841870156,26.647019760898747,0.10053595805581857,72.44453427660731,0.8079100044381087
17,0.42500001192092896,122.21296032175935,23.352168501473876,1.0103517762626824,74.49864573655354,1.1388339857099132,24.691597659305653,0.08485186879749382,74.27678254397205,0.9467679279248077
18,0.44999998807907104,123.819071903806,19.15267957828096,0.9789193751255275,78.52025957213108,1.3481414744624387,20.02732814868883,0.09575180547626351,78.71523521924456,1.1616848265903446
19,0.4749999940395355,125.20712725968245,17.973530687999304,0.9552585669176292,79.52932439746621,1.5418863476168612,18.767033268548456,0.08773943665599616,79.80480104151907,1.3404262532764681
20,0.5,126.38821580955464,14.69258178737428,0.9438123963602657,82.60876574150782,1.7548400747576272,15.196842031872146,0.10790288511385429,83.1593517718172,1.5359033111967926
21,0.5249999761581421,127.3710852136325,13.563723771670293,0.9031826393289731,83.58090792170822,1.952185667292517,14.02808475571448,0.09871686462537128,84.14406721414242,1.7291311655177097
22,0.550000011920929,128.28552714833117,12.657562475136105,0.8833215294972218,84.3160584649346,2.143057530432064,13.07580281753856,0.1075105946166807,84.90429132674953,1.9123952610952344
23,0.574999988079071,129.1221267256807,11.733432205766706,0.8713702732465936,85.05837716621325,2.3368203547734665,12.096441394867723,0.12570341596378765,85.67790094507237,2.099954244096125
24,0.6000000238418579,129.87795947202736,9.838785759187715,0.8229115055435337,86.78391546316155,2.554387272107213,10.083371338256534,0.08488112689032787,87.51468818023821,2.317059354614931
25,0.625,130.5148496739355,9.201512769135732,0.8177989583289204,87.22576755186134,2.754920720674021,9.408321085932652,0.11872540404843895,87.98189951367321,2.491053996345689
26,0.6499999761581421,131.12778006794113,8.992530337098101,0.8138592006515015,87.24645049027463,2.9471599719757604,9.195117860329113,0.1459892643779263,87.98343941021815,2.6754534650747983
27,0.675000011920929,131.7045849004396,8.038490904679811,0.7868128424047438,88.0260052400531,3.1486910128623578,8.200367378869483,0.12308744069810092,88.78022185533884,2.8963233250935767
28,0.699999988079071,132.23290859149867,7.773275011296913,0.7792184394980165,88.11593223506732,3.3315743141377676,7.920624311472638,0.13269638080634127,88.89134349300531,3.0553358147156944
29,0.7250000238418579,132.74482426707507,7.660464644161992,0.7654998044644031,88.06068338397604,3.513352167397565,7.803922787221959,0.13056249438179213,88.84114264497798,3.2243720734182646
30,0.75,133.23643554403102,7.027179203074745,0.7502930912827148,88.53118656506187,3.691341140580675,7.143366987702943,0.11755569612262216,89.33625979300096,3.4028175231734745
31,0.7749999761581421,133.6824362856396,6.25408124927385,0.7450003701532052,89.1192642464668,3.8816541341061255,6.340118898506055,0.1124316240366438,89.9360937040343,3.6113557734229893
32,0.800000011920929,134.0955545964305,5.867209529164866,0.7422739641147057,89.32939881402746,4.061117692692984,5.939026506299819,0.11674145084459353,90.14414926842376,3.8000827744318246
33,0.824999988079071,134.50088248334782,5.795566128392059,0.7407261162294917,89.22045212512978,4.2432556302486715,5.867005892284218,0.1269868579067002,90.02852074089704,3.977486508912044
