increment,time,volume_mean_mises,field_share_E,field_share_nu,field_share_SIGY0,field_share_H,scalar_share_E,scalar_share_nu,scalar_share_SIGY0,scalar_share_H
1,0.02500000037252903,9.803059826664228,98.21132198406106,1.7886780159389388,0.0,0.0,99.3736425428471,0.6263574571529132,0.0,0.0
2,0.05000000074505806,19.60611965309614,98.21132198597982,1.7886780140201648,0.0,0.0,99.37364254669887,0.6263574533011099,0.0,0.0
3,0.07500000298023224,29.40918335346952,98.21132554957447,1.7886744504255154,0.0,0.0,99.3736414552898,0.626358544710206,0.0,0.0
4,0.10000000149011612,39.212239306192274,98.21132198597984,1.7886780140201688,0.0,0.0,99.37364254669887,0.6263574533011133,0.0,0.0
5,0.125,49.015294583190354,98.21132212895215,1.7886778710478546,0.0,0.0,99.37364378125906,0.6263562187409485,0.0,0.0
6,0.15000000596046448,58.818366706939024,98.21132554957448,1.788674450425521,0.0,0.0,99.3736414552898,0.6263585447102095,0.0,0.0
7,0.17499999701976776,68.61862264168464,97.62795435890392,1.7817420097159609,0.5901825194859561,0.000121111894164312,99.18216884418173,0.6266634447807902,0.19112848938550733,3.9221651970315974e-05
8,0.20000000298023224,78.2544985698887,89.45729021111626,1.6885157056263305,8.845566523402669,0.008627559854743918,94.96917787478637,0.7970662402590151,4.229676749662843,0.004079135291787591
9,0.22499999403953552,87.32513409700907,79.54933279253817,1.4954617235771557,18.91446575562801,0.04073972825667956,87.58860276108429,0.7104585537754597,11.678915832928352,0.022022852211893987
10,0.25,95.27010700211618,67.8110463407613,1.3484755257099328,30.73937119735429,0.10110693617448492,76.12992155440325,0.5068348128088157,23.29970455356798,0.06353907921995319
11,0.2750000059604645,101.91352637178693,56.87910825222079,1.2580713011789255,41.67687378069617,0.18594666590410205,63.728498377231105,0.39041441741527355,35.754938257585614,0.12614894776800503
12,0.30000001192092896,107.29060732126874,48.41960922647622,1.1980762294582439,50.08323290399071,0.2990816400748269,53.85562669012183,0.2666225237137396,45.66035486001563,0.21739592614880068
13,0.32499998807907104,111.63583824878401,39.29165789802379,1.1668737297493244,59.09658928882149,0.4448790834053908,42.98238207544011,0.22067174579298315,56.4517446508181,0.3452015279488111
14,0.3499999940395355,115.13066850378887,36.191556054510656,1.125032994900544,62.09370703193675,0.5897039186520602,39.376749074564835,0.12599980806878763,60.03327811065813,0.46397300670824243
15,0.375,117.95834216763252,30.3348629673836,1.076595677171035,67.8192428131113,0.7692985423340649,32.55689413935435,0.09760593048301956,66.72271812733494,0.6227818028276922
16,0.4000000059604645,120.25959327009348,25.094186373837207,1.038870295181588,72.90450824452678,0.9624350864544352,26.647019331207307,0.10053904195781417,72.44453161482508,0.807910012009784
17,0.42500001192092896,122.21297720931442,23.35216860637702,1.010355276868614,74.49864203761022,1.1388340791441223,24.69159782836429,0.08485359745555678,74.27678071692647,0.9467678572536903
18,0.44999998807907104,123.81905726319427,19.152680435672572,0.9789183170029694,78.5202593758475,1.3481418714769609,20.02732832853321,0.09575196795392647,78.71523467336098,1.1616850301518835
19,0.4749999940395355,125.20711710380391,17.973531434414642,0.9552584842187408,79.52932342665405,1.5418866547125565,18.76703412209741,0.08773698948211016,79.80480244018888,1.3404264482316013
20,0.5,126.38822722887143,14.692583303399077,0.9438077078196152,82.60876856633074,1.7548404224505505,15.196842700249084,0.10790284147458372,83.15935100454482,1.53590345373152
21,0.5249999761581421,127.37130912241254,13.563811382131528,0.9031925713203943,83.58081784563775,1.9521782009103292,14.028178775701052,0.0986765228626395,84.14401955066113,1.7291251507751817
22,0.550000011920929,128.28567529305894,12.657600350527314,0.8833320853146396,84.3160152250347,2.1430523391233454,13.075845556212021,0.10749790367606318,84.90426421107698,1.912392329034936
23,0.574999988079071,129.12221916099352,11.733432312842249,0.8713747324573843,85.058360490613,2.3368324640873563,12.096446394655697,0.1256892644561732,85.67790139092155,2.0999629499665944
24,0.6000000238418579,129.8780069265746,9.838800733196889,0.822910164737262,86.78390088348408,2.5543882185817757,10.083387057620962,0.08488066167116834,87.51467263785675,2.317059642851119
25,0.625,130.51500301059195,9.201528562997082,0.8178056427603911,87.22574833868799,2.754917455554532,9.40833538533225,0.11871831983483412,87.98189528651938,2.491051008313534
26,0.6499999761581421,131.12775105714258,8.992536707664469,0.8138598271286688,87.24644112624895,2.9471623389579205,9.195124111241372,0.14599115526383963,87.98342981837209,2.6754549151226916
27,0.675000011920929,131.70461959623427,8.038501422871379,0.7868156241809363,88.02599207147716,3.1486908814705075,8.200377963236226,0.1230890900768074,88.78021008129522,2.8963228653917414
28,0.699999988079071,132.23292248627632,7.773279922096256,0.7792217754376717,88.1159224099728,3.331575892493289,7.920629500369096,0.1326968650998655,88.89133702711135,3.0553366074196995
