output,parameter,increment,steps,fd,oti,rel_error,plateau_spread,weighted_fd,float32_floor_rel,weighted_error
tip_RF2,E,1,5e-3/2e-3,-0.000301499217748642,-0.00030149918802897823,9.85729381443553e-08,3.4596483898984734e-07,1.0000001112029964,2.980231907358813e-05,9.857294910596139e-08
tip_RF2,E,2,5e-3/2e-3,-0.000602998435497284,-0.0006029983760579564,9.857293832415713e-08,3.4596483898984734e-07,1.0000001112029964,2.980231907358813e-05,9.857294928576323e-08
tip_RF2,E,3,5e-3/2e-3,-0.0009044987708330155,-0.0009044975865503747,1.3093247652747352e-06,7.743013021962269e-07,1.0000013555233513,2.9802281990006155e-05,1.3093265400950289e-06
tip_RF2,E,4,5e-3/2e-3,-0.001205996870994568,-0.0012059967521159134,9.857293778475166e-08,3.4596483898984734e-07,1.0000001112029964,2.980231907358813e-05,9.857294874635771e-08
tip_RF2,E,5,2e-3/1e-3,-0.0015074962377548218,-0.001507495917681452,2.123211731492081e-07,1.779247567996072e-06,1.0000002146959193,5.960463197851937e-05,2.1232121873369757e-07
tip_RF2,E,6,5e-3/2e-3,-0.001808997541666031,-0.0018089951731007485,1.3093247657542062e-06,7.743013021962269e-07,1.0000013555233513,2.9802281990006155e-05,1.3093265405745006e-06
tip_RF2,E,7,5e-3/2e-3,-0.002104027271270752,-0.0021040231071619464,1.9791135136218687e-06,1.4164418302159445e-06,0.9969989044267779,2.989203123029517e-05,1.9731740048172345e-06
tip_RF2,E,8,2e-3/1e-3,-0.0022557598352432253,-0.0022557428921484842,7.511036625573101e-06,0.00011560198777287683,0.9382427767918605,6.35279548638756e-05,7.047175860163072e-06
tip_RF2,E,9,2e-3/1e-3,-0.002249082326889038,-0.002249081867415218,2.042939087535954e-07,0.001782641027802116,0.8410572132059451,7.08687159916142e-05,1.7182286557124855e-07
tip_RF2,E,10,5e-3/2e-3,-0.002035130858421326,-0.002033106399377863,0.0009947562020818335,0.00015018818919836975,0.7014646785664417,4.248584896477076e-05,0.0006977863395453077
tip_RF2,E,11,2e-3/1e-3,-0.0017238694429397583,-0.001724233915738677,0.00021142714746267047,0.002556036585639907,0.5592858420341646,0.00010657277602201415,0.00011824821019754116
tip_RF2,E,12,2e-3/1e-3,-0.0014591223001480102,-0.0014591068389653622,1.0596221198457903e-05,1.2459145237140552e-05,0.45295042747427067,0.00013159198261000955,4.799562921453436e-06
tip_RF2,E,13,2e-3/1e-3,-0.001152637004852295,-0.0011453749614841768,0.006300373263696135,0.004921905218936371,0.3462928175790217,0.0001721220936434503,0.002181774009284871
tip_RF2,E,14,5e-3/2e-3,-0.0010376453399658203,-0.0010462631682007578,0.008305177022451003,0.0013509259684757152,0.30422333947839386,9.796198555571998e-05,0.002526628688729268
tip_RF2,E,15,5e-3/2e-3,-0.0008440908789634705,-0.0008463087570271966,0.0026275346873190068,0.0017424007846629957,0.24291643653793293,0.00012268549140783026,0.0006382713631233449
tip_RF2,E,16,2e-3/1e-3,-0.0006782680749893189,-0.0006782715022662159,5.052982770884829e-06,1.7136153329161596e-05,0.19240602259822936,0.0003097857539514418,9.7222431720333e-07
tip_RF2,E,17,5e-3/2e-3,-0.0006165555119514465,-0.0006202109871995436,0.005928866383056542,0.0012154772510085234,0.17286364402469734,0.00017240364540410476,0.0010248854479106809
tip_RF2,E,18,2e-3/1e-3,-0.0004945224523544311,-0.0004945301366617973,1.5538844251892272e-05,6.448339160942765e-05,0.13736277822759776,0.00043392136897981993,2.1344588168858607e-06
tip_RF2,E,19,2e-3/1e-3,-0.0004626840353012085,-0.0004588210862926707,0.008348999995262466,0.0001945237067716431,0.1275126036128054,0.00046744120256834645,0.0010646027269592168
tip_RF2,E,20,5e-3/2e-3,-0.0003619369864463806,-0.0003661431449959017,0.011621245429538928,0.0036706055947544973,0.09909444535078782,0.0003007466491405956,0.001151600870125538
tip_RF2,E,21,5e-3/2e-3,-0.0003351762890815735,-0.00033516581964254823,3.123561948231043e-05,9.016018103177685e-05,0.09127183159617173,0.00032652267261989873,2.8509322011915378e-06
tip_RF2,E,22,5e-3/2e-3,-0.00031334102153778075,-0.0003108809228546391,0.007851186132821845,0.0004903946935414428,0.08490146365834499,0.00035102248069154504,0.000666577194130676
tip_RF2,E,23,2e-3/1e-3,-0.0002870005369186401,-0.0002868381995984402,0.000565634203834095,0.003577310402548552,0.0774112441895571,0.0007699739927889106,4.3786447474966834e-05
tip_RF2,E,24,2e-3/1e-3,-0.00024101674556732179,-0.00024109456300966652,0.0003228715173361266,0.002239346719128259,0.06474137967398473,0.0009206576238495235,2.0903147489773717e-05
tip_RF2,E,25,2e-3/1e-3,-0.00022442817687988282,-0.00022446778099989348,0.000176466790227726,8.49870394765233e-05,0.06007224303697669,0.0009922160678884882,1.0600755910515138e-05
tip_RF2,E,26,5e-3/2e-3,-0.00021785944700241088,-0.00021790033021441116,0.0001876586604933147,6.265261314754669e-05,0.05811685095539463,0.0005128000209538013,1.0906130402378972e-05
tip_RF2,E,27,2e-3/1e-3,-0.00019665896892547607,-0.00019669884591210252,0.00020277227549977083,1.5154316404272122e-06,0.05229346911202409,0.0011398104923523891,1.0603665725622105e-05
tip_RF2,E,28,2e-3/1e-3,-0.00019013285636901856,-0.00019014678440075215,7.325420760815624e-05,1.5674472553913022e-05,0.05040753349116489,0.0011824550944520573,3.6925639233768815e-06
tip_RF2,E,29,2e-3/1e-3,-0.0001870352029800415,-0.00018705385768252064,9.973899128035575e-05,3.824177084904559e-05,0.04944309445276092,0.0012055201122643786,4.9314043664977274e-06
tip_RF2,E,30,2e-3/1e-3,-0.00017426371574401855,-0.00017427644368008994,7.303836037840618e-05,0.000928630552116233,0.04593829247565161,0.0012974936934580777,3.3552575610052673e-06
tip_RF2,E,31,2e-3/1e-3,-0.00015900611877441405,-0.00015901682509690903,6.733277044620885e-05,0.0009896239429016498,0.041806850793456404,0.0014257147726783553,2.8149710875547045e-06
tip_RF2,E,32,2e-3/1e-3,-0.00015123605728149415,-0.0001512078623923137,0.00018642967614514394,0.00025223464127517516,0.03966559300659346,0.0015026787766788908,7.394843658324306e-06
tip_RF2,E,33,2e-3/1e-3,-0.00014902830123901368,-0.0001489909374884902,0.00025071580507082255,0.00012398611355544185,0.038991709487499845,0.001528649181039343,9.775837835246153e-06
tip_RF2,E,34,5e-3/2e-3,-0.00014695465564727782,-0.00014859018277437402,0.011129467929357803,0.0025885320970677663,0.03835735318959815,0.0007769650382388006,0.0004268969321786829
tip_RF2,E,35,5e-3/2e-3,-0.00013910114765167236,-0.00013908092737666068,0.00014536382591403941,0.0001002686686120175,0.03622375044130724,0.000822728790492954,5.2656229531037935e-06
tip_RF2,E,36,2e-3/1e-3,-0.0001356792449951172,-0.0001356564692816968,0.00016786438796298557,0.0006589583186898151,0.03525230954104737,0.001690801129100143,5.917607365389633e-06
tip_RF2,E,37,2e-3/1e-3,-0.0001331055164337158,-0.00013308344276686008,0.00016583585299204017,0.00045675595797844374,0.03450665403420124,0.0017273377104692195,5.722440405662987e-06
tip_RF2,E,38,2e-3/1e-3,-0.00013286471366882324,-0.0001328305409726201,0.00025719918599547147,8.523619397965751e-05,0.03436872623887714,0.0017342698231267927,8.839608412340402e-06
tip_RF2,E,39,2e-3/1e-3,-0.0001313316822052002,-0.00013127638833433373,0.0004210246144572698,0.0005083099601520803,0.03389842227993717,0.0017583309418700505,1.427207017112027e-05
tip_RF2,E,40,5e-3/2e-3,-0.00013000428676605225,-0.0001299837777938625,0.0001577561225088588,5.226696498573329e-05,0.03348399408710777,0.0008900468178964946,5.282305073291677e-06
tip_region_U,E,1,5e-3/2e-3,7.275957614183426e-14,-6.212882208563518e-24,1.0000000000853893,1.0,8.315380095092824e-07,35.84000015258789,8.315380095802867e-07
tip_region_U,E,2,2e-3/1e-3,-1.1469874970839944e-19,3.0898998066284825e-22,1.0026939263195842,0.5924648000883873,6.554214241146995e-13,90940946.6678644,6.571870811395415e-13
tip_region_U,E,3,5e-3/2e-3,-1.355539912715559e-19,-2.4508141483019954e-22,0.998192001485672,0.9795597514979735,5.16396173347628e-13,57712128.64436344,5.154625298334108e-13
tip_region_U,E,4,5e-3/2e-3,-1.2585417362373856e-19,-3.910652423034834e-22,0.9968927113734612,0.6178752896186327,3.595833516797646e-13,82880150.73132883,3.584660224207974e-13
